"Ciudad","DescripciónCiudad","Atracción","Categoría","DescripciónAtracción","Calificación","Opiniones","Coordenadas","Enlace"
"Quito","Capital de Ecuador, posee el centro histórico mejor conservado de América y una rica mezcla cultural colonial e indígena:contentReference[oaicite:0]{index=0}. Su altitud andina y panoramas volcánicos, junto a su oferta moderna, la han hecho destino líder en Sudamérica:contentReference[oaicite:1]{index=1}","Iglesia de La Compañía de Jesús","Iglesia","Iglesia barroca del siglo XVII, famosa por su interior cubierto de pan de oro y considerada una joya del arte colonial quiteño:contentReference[oaicite:2]{index=2}","5.0/5","~5.000 opiniones","+0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d315505-Reviews-Iglesia_de_La_Compania_de_Jesus-Quito_Pichincha_Province.html"
"Quito","","Iglesia y Convento de San Francisco","Iglesia/Museo","Complejo religioso más grande de América, fundado en 1537, cuna de la Escuela Quiteña de arte; destaca su imponente atrio y museo con arte colonial:contentReference[oaicite:3]{index=3}","4.5/5","~1.200 opiniones","0.22 S, 78.52 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316187-Reviews-San_Francisco_Church_Quito-Quito_Pichincha_Province.html"
"Quito","","Basílica del Voto Nacional","Iglesia","Catedral neogótica monumental del siglo XIX, famosa por sus gárgolas con fauna ecuatoriana. Sus altas torres ofrecen vistas panorámicas de la ciudad:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}","4.5/5","~1.400 opiniones","0.21 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316186-Reviews-Basilica_del_Voto_Nacional-Quito_Pichincha_Province.html"
"Quito","","El Panecillo (Virgen de Quito)","Mirador/Monumento","Colina icónica a 3.000 msnm con una estatua alada de la Virgen de Quito (1976). Es uno de los miradores más visitados, ofreciendo vista de 360° de la ciudad:contentReference[oaicite:6]{index=6}","4.5/5","~1.300 opiniones","0.22 S, 78.52 W","https://www.tripadvisor.com/Attraction_Review-g294308-d314596-Reviews-El_Panecillo-Quito_Pichincha_Province.html"
"Quito","","TelefériQo (Teleférico de Quito)","Atracción/Paisaje","Teleférico que asciende al Cruz Loma (~4.000 msnm) en las faldas del Pichincha. Ofrece recorridos de 10 min con vistas espectaculares de Quito y volcanes circundantes:contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}","4.5/5","~2.000 opiniones","0.19 S, 78.55 W","https://www.tripadvisor.com/Attraction_Review-g294308-d946226-Reviews-Teleferico_Quito-Quito_Pichincha_Province.html"
"Quito","","Ciudad Mitad del Mundo","Monumento/Museo","Complejo turístico en la latitud 0° donde se alza un monumento que marca la línea ecuatorial. Incluye museo etnográfico y exhibiciones sobre la misión geodésica francesa:contentReference[oaicite:9]{index=9}","4.5/5","~4.000 opiniones","0.00 N, 78.45 W","https://www.tripadvisor.com/Attraction_Review-g294308-d315498-Reviews-Mitad_del_Mundo-Quito_Pichincha_Province.html"
"Quito","","Museo Templo del Sol (Ortega Maila)","Museo de arte","Museo de arte y cultura andina construido por el artista Ortega Maila, con arquitectura ancestral. Incluye exhibición de pintura, aromaterapia y ritual de energía andina:contentReference[oaicite:10]{index=10}","4.9/5","7.984 opiniones:contentReference[oaicite:11]{index=11}","0.00 S, 78.46 W","https://www.tripadvisor.com/Attraction_Review-g294308-d6965734-Reviews-Museo_Templo_del_Sol_Pintor_Ortega_Maila-Quito_Pichincha_Province.html"
"Quito","","Capilla del Hombre (Museo Guayasamín)","Museo/Arte","Museo creado por el pintor Oswaldo Guayasamín dedicado al pueblo latinoamericano. Exhibe murales y obras de gran formato en un edificio moderno con vista a la ciudad:contentReference[oaicite:12]{index=12}","4.7/5","~1.100 opiniones","0.17 S, 78.44 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316381-Reviews-La_Capilla_Del_Hombre-Quito_Pichincha_Province.html"
"Quito","","Plaza de la Independencia (Plaza Grande)","Plaza histórica","Plaza central rodeada de edificios emblemáticos: Palacio de Carondelet (sede presidencial), Catedral Metropolitana, Palacio Arzobispal. Escenario de eventos históricos desde la colonia:contentReference[oaicite:13]{index=13}","4.5/5","~500 opiniones","0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d314599-Reviews-Plaza_de_la_Independencia_Plaza_Grande-Quito_Pichincha_Province.html"
"Quito","","Calle La Ronda","Calle tradicional","Calle colonial estrecha y adoquinada, llena de casas históricas, restaurantes, arte y música en vivo. Es el epicentro bohemio de Quito, ideal para disfrutar gastronomía y cultura local:contentReference[oaicite:14]{index=14}","4.5/5","~400 opiniones","0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d1587408-Reviews-La_Ronda-Quito_Pichincha_Province.html"
